booth,party,votes
Curtin,Liberal Democrats,0
Curtin,"Shooters, Fishers and Farmers Party (ACT)",50
Curtin,Sustainable Australia - Stop overdevelopment. Stop corruption.,65
Curtin,The ACT Greens,645
Curtin,The Community Action Party (ACT),0
Curtin,Ungrouped,480
Deakin,ACT Labor,570
Deakin,Animal Justice Party,50
Deakin,Australian Climate Change Justice Party,35
Deakin,Australian Federation Party Australian Capital Territory,0
Deakin,Belco Party,0
Deakin,Canberra Liberals,925
Deakin,Canberra Progressives,45
Deakin,David Pollard Independent,0
Deakin,Labour DLP,0
Deakin,Liberal Democrats,0
Deakin,"Shooters, Fishers and Farmers Party (ACT)",20
Deakin,Sustainable Australia - Stop overdevelopment. Stop corruption.,35
Deakin,The ACT Greens,255
Deakin,The Community Action Party (ACT),0
Deakin,Ungrouped,105
Declaration,ACT Labor,4775
Declaration,Animal Justice Party,385
Declaration,Australian Climate Change Justice Party,280
Declaration,Australian Federation Party Australian Capital Territory,45
Declaration,Belco Party,265
Declaration,Canberra Liberals,4345
Declaration,Canberra Progressives,310
Declaration,David Pollard Independent,75
Declaration,Labour DLP,345
Declaration,Liberal Democrats,65
Declaration,"Shooters, Fishers and Farmers Party (ACT)",215
Declaration,Sustainable Australia - Stop overdevelopment. Stop corruption.,245
Declaration,The ACT Greens,2785
Declaration,The Community Action Party (ACT),5
Declaration,Ungrouped,205
Dickson,ACT Labor,1250
Dickson,Animal Justice Party,65
Dickson,Australian Climate Change Justice Party,75
Dickson,Australian Federation Party Australian Capital Territory,5
Dickson,Belco Party,20
Dickson,Canberra Liberals,545
Dickson,Canberra Progressives,155
Dickson,David Pollard Independent,10
Dickson,Labour DLP,30
Dickson,Liberal Democrats,5
Dickson,"Shooters, Fishers and Farmers Party (ACT)",0
Dickson,Sustainable Australia - Stop overdevelopment. Stop corruption.,65
Dickson,The ACT Greens,810
Dickson,The Community Action Party (ACT),15
Dickson,Ungrouped,45
Dickson (Early voting),ACT Labor,21495
Dickson (Early voting),Animal Justice Party,820
Dickson (Early voting),Australian Climate Change Justice Party,485
Dickson (Early voting),Australian Federation Party Australian Capital Territory,15
Dickson (Early voting),Belco Party,190
Dickson (Early voting),Canberra Liberals,11710
Dickson (Early voting),Canberra Progressives,2745
Dickson (Early voting),David Pollard Independent,90
Dickson (Early voting),Labour DLP,275
Dickson (Early voting),Liberal Democrats,20
Dickson (Early voting),"Shooters, Fishers and Farmers Party (ACT)",115
Dickson (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,815
Dickson (Early voting),The ACT Greens,15155
Dickson (Early voting),The Community Action Party (ACT),170
Dickson (Early voting),Ungrouped,935
Downer,ACT Labor,1235
Downer,Animal Justice Party,30
Downer,Australian Climate Change Justice Party,40
Downer,Australian Federation Party Australian Capital Territory,0
Downer,Belco Party,15
Downer,Canberra Liberals,730
Downer,Canberra Progressives,165
Downer,David Pollard Independent,0
Downer,Labour DLP,5
Downer,Liberal Democrats,0
Downer,"Shooters, Fishers and Farmers Party (ACT)",5
Downer,Sustainable Australia - Stop overdevelopment. Stop corruption.,70
Downer,The ACT Greens,1165
Downer,The Community Action Party (ACT),15
Downer,Ungrouped,50
Duffy,ACT Labor,1020
Duffy,Animal Justice Party,105
Duffy,Australian Climate Change Justice Party,30
Duffy,Australian Federation Party Australian Capital Territory,0
Duffy,Belco Party,0
Duffy,Canberra Liberals,745
Duffy,Canberra Progressives,90
Duffy,David Pollard Independent,0
Duffy,Labour DLP,0
Duffy,Liberal Democrats,0
Duffy,"Shooters, Fishers and Farmers Party (ACT)",50
Duffy,Sustainable Australia - Stop overdevelopment. Stop corruption.,45
Duffy,The ACT Greens,350
Duffy,The Community Action Party (ACT),0
Duffy,Ungrouped,235
Evatt,ACT Labor,1820
Evatt,Animal Justice Party,75
Evatt,Australian Climate Change Justice Party,20
Evatt,Australian Federation Party Australian Capital Territory,0
Evatt,Belco Party,530
Evatt,Canberra Liberals,1410
Evatt,Canberra Progressives,0
Evatt,David Pollard Independent,5
Evatt,Labour DLP,110
Evatt,Liberal Democrats,40
Evatt,"Shooters, Fishers and Farmers Party (ACT)",110
Evatt,Sustainable Australia - Stop overdevelopment. Stop corruption.,70
Evatt,The ACT Greens,540
Evatt,The Community Action Party (ACT),0
Evatt,Ungrouped,40
Evatt South,ACT Labor,700
Evatt South,Animal Justice Party,10
Evatt South,Australian Climate Change Justice Party,35
Evatt South,Australian Federation Party Australian Capital Territory,0
Evatt South,Belco Party,160
Evatt South,Canberra Liberals,605
Evatt South,Canberra Progressives,0
Evatt South,David Pollard Independent,0
Evatt South,Labour DLP,40
Evatt South,Liberal Democrats,10
Evatt South,"Shooters, Fishers and Farmers Party (ACT)",45
Evatt South,Sustainable Australia - Stop overdevelopment. Stop corruption.,60
Evatt South,The ACT Greens,230
Evatt South,The Community Action Party (ACT),0
Evatt South,Ungrouped,25
Fadden,ACT Labor,980
Fadden,Animal Justice Party,20
Fadden,Australian Climate Change Justice Party,0
Fadden,Australian Federation Party Australian Capital Territory,40
Fadden,Belco Party,0
Fadden,Canberra Liberals,1180
Fadden,Canberra Progressives,0
Fadden,David Pollard Independent,0
Fadden,Labour DLP,0
Fadden,Liberal Democrats,45
Fadden,"Shooters, Fishers and Farmers Party (ACT)",45
Fadden,Sustainable Australia - Stop overdevelopment. Stop corruption.,105
Fadden,The ACT Greens,320
Fadden,The Community Action Party (ACT),0
Fadden,Ungrouped,0
Farrer,ACT Labor,1655
Farrer,Animal Justice Party,60
Farrer,Australian Climate Change Justice Party,45
Farrer,Australian Federation Party Australian Capital Territory,5
Farrer,Belco Party,0
Farrer,Canberra Liberals,1575
Farrer,Canberra Progressives,115
Farrer,David Pollard Independent,0
Farrer,Labour DLP,0
Farrer,Liberal Democrats,5
Farrer,"Shooters, Fishers and Farmers Party (ACT)",75
Farrer,Sustainable Australia - Stop overdevelopment. Stop corruption.,70
Farrer,The ACT Greens,535
Farrer,The Community Action Party (ACT),0
Farrer,Ungrouped,405
Florey,ACT Labor,1055
Florey,Animal Justice Party,70
Florey,Australian Climate Change Justice Party,20
Florey,Australian Federation Party Australian Capital Territory,0
Florey,Belco Party,265
Florey,Canberra Liberals,705
Florey,Canberra Progressives,0
Florey,David Pollard Independent,0
Florey,Labour DLP,110
Florey,Liberal Democrats,25
Florey,"Shooters, Fishers and Farmers Party (ACT)",75
Florey,Sustainable Australia - Stop overdevelopment. Stop corruption.,50
Florey,The ACT Greens,270
Florey,The Community Action Party (ACT),0
Florey,Ungrouped,50
Flynn,ACT Labor,650
Flynn,Animal Justice Party,50
Flynn,Australian Climate Change Justice Party,25
Flynn,Australian Federation Party Australian Capital Territory,0
Flynn,Belco Party,185
Flynn,Canberra Liberals,330
Flynn,Canberra Progressives,0
Flynn,David Pollard Independent,0
Flynn,Labour DLP,70
Flynn,Liberal Democrats,40
Flynn,"Shooters, Fishers and Farmers Party (ACT)",65
Flynn,Sustainable Australia - Stop overdevelopment. Stop corruption.,15
Flynn,The ACT Greens,185
Flynn,The Community Action Party (ACT),0
Flynn,Ungrouped,25
Flynn (Early voting),ACT Labor,13115
Flynn (Early voting),Animal Justice Party,490
Flynn (Early voting),Australian Climate Change Justice Party,315
Flynn (Early voting),Australian Federation Party Australian Capital Territory,0
Flynn (Early voting),Belco Party,3310
Flynn (Early voting),Canberra Liberals,8875
Flynn (Early voting),Canberra Progressives,45
Flynn (Early voting),David Pollard Independent,70
Flynn (Early voting),Labour DLP,730
Flynn (Early voting),Liberal Democrats,200
Flynn (Early voting),"Shooters, Fishers and Farmers Party (ACT)",680
Flynn (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,485
Flynn (Early voting),The ACT Greens,3615
Flynn (Early voting),The Community Action Party (ACT),0
Flynn (Early voting),Ungrouped,410
Forde,ACT Labor,1150
Forde,Animal Justice Party,55
Forde,Australian Climate Change Justice Party,0
Forde,Australian Federation Party Australian Capital Territory,5
Forde,Belco Party,0
Forde,Canberra Liberals,1510
Forde,Canberra Progressives,90
Forde,David Pollard Independent,75
Forde,Labour DLP,75
Forde,Liberal Democrats,0
Forde,"Shooters, Fishers and Farmers Party (ACT)",0
Forde,Sustainable Australia - Stop overdevelopment. Stop corruption.,40
Forde,The ACT Greens,200
Forde,The Community Action Party (ACT),0
Forde,Ungrouped,60
Fraser,ACT Labor,1560
Fraser,Animal Justice Party,105
Fraser,Australian Climate Change Justice Party,55
Fraser,Australian Federation Party Australian Capital Territory,0
Fraser,Belco Party,550
Fraser,Canberra Liberals,910
Fraser,Canberra Progressives,0
Fraser,David Pollard Independent,0
Fraser,Labour DLP,115
Fraser,Liberal Democrats,20
Fraser,"Shooters, Fishers and Farmers Party (ACT)",165
Fraser,Sustainable Australia - Stop overdevelopment. Stop corruption.,45
Fraser,The ACT Greens,340
Fraser,The Community Action Party (ACT),0
Fraser,Ungrouped,45
Garran,ACT Labor,775
Garran,Animal Justice Party,25
Garran,Australian Climate Change Justice Party,30
Garran,Australian Federation Party Australian Capital Territory,0
Garran,Belco Party,0
Garran,Canberra Liberals,875
Garran,Canberra Progressives,45
Garran,David Pollard Independent,0
Garran,Labour DLP,0
Garran,Liberal Democrats,0
Garran,"Shooters, Fishers and Farmers Party (ACT)",25
Garran,Sustainable Australia - Stop overdevelopment. Stop corruption.,30
Garran,The ACT Greens,255
Garran,The Community Action Party (ACT),0
Garran,Ungrouped,180
Gilmore,ACT Labor,735
Gilmore,Animal Justice Party,65
Gilmore,Australian Climate Change Justice Party,0
Gilmore,Australian Federation Party Australian Capital Territory,30
Gilmore,Belco Party,0
Gilmore,Canberra Liberals,705
Gilmore,Canberra Progressives,0
Gilmore,David Pollard Independent,0
Gilmore,Labour DLP,0
Gilmore,Liberal Democrats,20
Gilmore,"Shooters, Fishers and Farmers Party (ACT)",95
Gilmore,Sustainable Australia - Stop overdevelopment. Stop corruption.,55
Gilmore,The ACT Greens,225
Gilmore,The Community Action Party (ACT),0
Gilmore,Ungrouped,0
Giralang,ACT Labor,1120
Giralang,Animal Justice Party,30
Giralang,Australian Climate Change Justice Party,0
Giralang,Australian Federation Party Australian Capital Territory,10
Giralang,Belco Party,15
Giralang,Canberra Liberals,1255
Giralang,Canberra Progressives,125
Giralang,David Pollard Independent,340
Giralang,Labour DLP,95
Giralang,Liberal Democrats,5
Giralang,"Shooters, Fishers and Farmers Party (ACT)",5
Giralang,Sustainable Australia - Stop overdevelopment. Stop corruption.,45
Giralang,The ACT Greens,375
Giralang,The Community Action Party (ACT),0
Giralang,Ungrouped,25
Gordon,ACT Labor,1250
Gordon,Animal Justice Party,155
Gordon,Australian Climate Change Justice Party,0
Gordon,Australian Federation Party Australian Capital Territory,50
Gordon,Belco Party,0
Gordon,Canberra Liberals,1070
Gordon,Canberra Progressives,0
Gordon,David Pollard Independent,0
Gordon,Labour DLP,0
Gordon,Liberal Democrats,60
Gordon,"Shooters, Fishers and Farmers Party (ACT)",125
Gordon,Sustainable Australia - Stop overdevelopment. Stop corruption.,105
Gordon,The ACT Greens,310
Gordon,The Community Action Party (ACT),0
Gordon,Ungrouped,0
Gowrie,ACT Labor,840
Gowrie,Animal Justice Party,55
Gowrie,Australian Climate Change Justice Party,0
Gowrie,Australian Federation Party Australian Capital Territory,30
Gowrie,Belco Party,0
Gowrie,Canberra Liberals,955
Gowrie,Canberra Progressives,0
Gowrie,David Pollard Independent,0
Gowrie,Labour DLP,0
Gowrie,Liberal Democrats,35
Gowrie,"Shooters, Fishers and Farmers Party (ACT)",70
Gowrie,Sustainable Australia - Stop overdevelopment. Stop corruption.,65
Gowrie,The ACT Greens,335
Gowrie,The Community Action Party (ACT),0
Gowrie,Ungrouped,0
Griffith,ACT Labor,1425
Griffith,Animal Justice Party,65
Griffith,Australian Climate Change Justice Party,70
Griffith,Australian Federation Party Australian Capital Territory,0
Griffith,Belco Party,0
Griffith,Canberra Liberals,1250
Griffith,Canberra Progressives,180
Griffith,David Pollard Independent,0
Griffith,Labour DLP,0
Griffith,Liberal Democrats,5
Griffith,"Shooters, Fishers and Farmers Party (ACT)",5
Griffith,Sustainable Australia - Stop overdevelopment. Stop corruption.,40
Griffith,The ACT Greens,690
Griffith,The Community Action Party (ACT),5
Griffith,Ungrouped,65
Gungahlin North,ACT Labor,840
Gungahlin North,Animal Justice Party,35
Gungahlin North,Australian Climate Change Justice Party,0
Gungahlin North,Australian Federation Party Australian Capital Territory,10
Gungahlin North,Belco Party,0
Gungahlin North,Canberra Liberals,905
Gungahlin North,Canberra Progressives,70
Gungahlin North,David Pollard Independent,80
Gungahlin North,Labour DLP,120
Gungahlin North,Liberal Democrats,0
Gungahlin North,"Shooters, Fishers and Farmers Party (ACT)",15
Gungahlin North,Sustainable Australia - Stop overdevelopment. Stop corruption.,50
Gungahlin North,The ACT Greens,295
Gungahlin North,The Community Action Party (ACT),0
Gungahlin North,Ungrouped,30
Gungahlin North (Early voting),ACT Labor,14080
Gungahlin North (Early voting),Animal Justice Party,405
Gungahlin North (Early voting),Australian Climate Change Justice Party,20
Gungahlin North (Early voting),Australian Federation Party Australian Capital Territory,115
Gungahlin North (Early voting),Belco Party,80
Gungahlin North (Early voting),Canberra Liberals,16870
Gungahlin North (Early voting),Canberra Progressives,995
Gungahlin North (Early voting),David Pollard Independent,1020
Gungahlin North (Early voting),Labour DLP,2130
Gungahlin North (Early voting),Liberal Democrats,30
Gungahlin North (Early voting),"Shooters, Fishers and Farmers Party (ACT)",110
Gungahlin North (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,430
Gungahlin North (Early voting),The ACT Greens,4165
Gungahlin North (Early voting),The Community Action Party (ACT),0
Gungahlin North (Early voting),Ungrouped,775
Gungahlin West,ACT Labor,1655
Gungahlin West,Animal Justice Party,90
Gungahlin West,Australian Climate Change Justice Party,0
Gungahlin West,Australian Federation Party Australian Capital Territory,10
Gungahlin West,Belco Party,35
Gungahlin West,Canberra Liberals,2035
Gungahlin West,Canberra Progressives,135
Gungahlin West,David Pollard Independent,95
Gungahlin West,Labour DLP,230
Gungahlin West,Liberal Democrats,5
Gungahlin West,"Shooters, Fishers and Farmers Party (ACT)",10
Gungahlin West,Sustainable Australia - Stop overdevelopment. Stop corruption.,100
Gungahlin West,The ACT Greens,450
Gungahlin West,The Community Action Party (ACT),0
Gungahlin West,Ungrouped,35
Gungahlin West (Early voting),ACT Labor,29905
Gungahlin West (Early voting),Animal Justice Party,990
Gungahlin West (Early voting),Australian Climate Change Justice Party,55
Gungahlin West (Early voting),Australian Federation Party Australian Capital Territory,110
Gungahlin West (Early voting),Belco Party,200
Gungahlin West (Early voting),Canberra Liberals,36555
Gungahlin West (Early voting),Canberra Progressives,2135
Gungahlin West (Early voting),David Pollard Independent,2785
Gungahlin West (Early voting),Labour DLP,3280
Gungahlin West (Early voting),Liberal Democrats,65
Gungahlin West (Early voting),"Shooters, Fishers and Farmers Party (ACT)",140
Gungahlin West (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,910
