booth,party,votes
Charnwood,David Pollard Independent,0
Charnwood,Labour DLP,19
Charnwood,Liberal Democrats,8
Charnwood,"Shooters, Fishers and Farmers Party (ACT)",26
Charnwood,Sustainable Australia - Stop overdevelopment. Stop corruption.,11
Charnwood,The ACT Greens,42
Charnwood,The Community Action Party (ACT),0
Charnwood,Ungrouped,7
Charnwood North,ACT Labor,81
Charnwood North,Animal Justice Party,3
Charnwood North,Australian Climate Change Justice Party,2
Charnwood North,Australian Federation Party Australian Capital Territory,0
Charnwood North,Belco Party,22
Charnwood North,Canberra Liberals,38
Charnwood North,Canberra Progressives,0
Charnwood North,David Pollard Independent,0
Charnwood North,Labour DLP,5
Charnwood North,Liberal Democrats,0
Charnwood North,"Shooters, Fishers and Farmers Party (ACT)",12
Charnwood North,Sustainable Australia - Stop overdevelopment. Stop corruption.,4
Charnwood North,The ACT Greens,25
Charnwood North,The Community Action Party (ACT),0
Charnwood North,Ungrouped,3
Chisholm,ACT Labor,239
Chisholm,Animal Justice Party,18
Chisholm,Australian Climate Change Justice Party,0
Chisholm,Australian Federation Party Australian Capital Territory,9
Chisholm,Belco Party,0
Chisholm,Canberra Liberals,247
Chisholm,Canberra Progressives,0
Chisholm,David Pollard Independent,0
Chisholm,Labour DLP,0
Chisholm,Liberal Democrats,15
Chisholm,"Shooters, Fishers and Farmers Party (ACT)",25
Chisholm,Sustainable Australia - Stop overdevelopment. Stop corruption.,15
Chisholm,The ACT Greens,55
Chisholm,The Community Action Party (ACT),0
Chisholm,Ungrouped,0
Chisholm (Early voting),ACT Labor,4018
Chisholm (Early voting),Animal Justice Party,217
Chisholm (Early voting),Australian Climate Change Justice Party,7
Chisholm (Early voting),Australian Federation Party Australian Capital Territory,95
Chisholm (Early voting),Belco Party,11
Chisholm (Early voting),Canberra Liberals,4312
Chisholm (Early voting),Canberra Progressives,7
Chisholm (Early voting),David Pollard Independent,0
Chisholm (Early voting),Labour DLP,12
Chisholm (Early voting),Liberal Democrats,120
Chisholm (Early voting),"Shooters, Fishers and Farmers Party (ACT)",329
Chisholm (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,192
Chisholm (Early voting),The ACT Greens,912
Chisholm (Early voting),The Community Action Party (ACT),0
Chisholm (Early voting),Ungrouped,24
City,ACT Labor,209
City,Animal Justice Party,9
City,Australian Climate Change Justice Party,6
City,Australian Federation Party Australian Capital Territory,0
City,Belco Party,0
City,Canberra Liberals,110
City,Canberra Progressives,27
City,David Pollard Independent,0
City,Labour DLP,3
City,Liberal Democrats,1
City,"Shooters, Fishers and Farmers Party (ACT)",0
City,Sustainable Australia - Stop overdevelopment. Stop corruption.,5
City,The ACT Greens,125
City,The Community Action Party (ACT),0
City,Ungrouped,8
City (Early voting),ACT Labor,2836
City (Early voting),Animal Justice Party,98
City (Early voting),Australian Climate Change Justice Party,60
City (Early voting),Australian Federation Party Australian Capital Territory,1
City (Early voting),Belco Party,70
City (Early voting),Canberra Liberals,1717
City (Early voting),Canberra Progressives,306
City (Early voting),David Pollard Independent,35
City (Early voting),Labour DLP,62
City (Early voting),Liberal Democrats,7
City (Early voting),"Shooters, Fishers and Farmers Party (ACT)",30
City (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,104
City (Early voting),The ACT Greens,1480
City (Early voting),The Community Action Party (ACT),10
City (Early voting),Ungrouped,122
City East,ACT Labor,237
City East,Animal Justice Party,8
City East,Australian Climate Change Justice Party,15
City East,Australian Federation Party Australian Capital Territory,0
City East,Belco Party,5
City East,Canberra Liberals,131
City East,Canberra Progressives,21
City East,David Pollard Independent,0
City East,Labour DLP,2
City East,Liberal Democrats,1
City East,"Shooters, Fishers and Farmers Party (ACT)",1
City East,Sustainable Australia - Stop overdevelopment. Stop corruption.,6
City East,The ACT Greens,175
City East,The Community Action Party (ACT),0
City East,Ungrouped,12
City East (Early Voting),ACT Labor,3431
City East (Early Voting),Animal Justice Party,124
City East (Early Voting),Australian Climate Change Justice Party,101
City East (Early Voting),Australian Federation Party Australian Capital Territory,10
City East (Early Voting),Belco Party,50
City East (Early Voting),Canberra Liberals,2123
City East (Early Voting),Canberra Progressives,359
City East (Early Voting),David Pollard Independent,34
City East (Early Voting),Labour DLP,49
City East (Early Voting),Liberal Democrats,11
City East (Early Voting),"Shooters, Fishers and Farmers Party (ACT)",28
City East (Early Voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,137
City East (Early Voting),The ACT Greens,1705
City East (Early Voting),The Community Action Party (ACT),21
City East (Early Voting),Ungrouped,186
Coombs,ACT Labor,299
Coombs,Animal Justice Party,21
Coombs,Australian Climate Change Justice Party,14
Coombs,Australian Federation Party Australian Capital Territory,0
Coombs,Belco Party,0
Coombs,Canberra Liberals,328
Coombs,Canberra Progressives,34
Coombs,David Pollard Independent,0
Coombs,Labour DLP,0
Coombs,Liberal Democrats,0
Coombs,"Shooters, Fishers and Farmers Party (ACT)",17
Coombs,Sustainable Australia - Stop overdevelopment. Stop corruption.,15
Coombs,The ACT Greens,109
Coombs,The Community Action Party (ACT),0
Coombs,Ungrouped,47
Curtin,ACT Labor,326
Curtin,Animal Justice Party,15
Curtin,Australian Climate Change Justice Party,17
Curtin,Australian Federation Party Australian Capital Territory,0
Curtin,Belco Party,0
Curtin,Canberra Liberals,245
Curtin,Canberra Progressives,36
Curtin,David Pollard Independent,0
Curtin,Labour DLP,0
Curtin,Liberal Democrats,0
Curtin,"Shooters, Fishers and Farmers Party (ACT)",10
Curtin,Sustainable Australia - Stop overdevelopment. Stop corruption.,13
Curtin,The ACT Greens,129
Curtin,The Community Action Party (ACT),0
Curtin,Ungrouped,96
Deakin,ACT Labor,114
Deakin,Animal Justice Party,10
Deakin,Australian Climate Change Justice Party,7
Deakin,Australian Federation Party Australian Capital Territory,0
Deakin,Belco Party,0
Deakin,Canberra Liberals,185
Deakin,Canberra Progressives,9
Deakin,David Pollard Independent,0
Deakin,Labour DLP,0
Deakin,Liberal Democrats,0
Deakin,"Shooters, Fishers and Farmers Party (ACT)",4
Deakin,Sustainable Australia - Stop overdevelopment. Stop corruption.,7
Deakin,The ACT Greens,51
Deakin,The Community Action Party (ACT),0
Deakin,Ungrouped,21
Declaration,ACT Labor,955
Declaration,Animal Justice Party,77
Declaration,Australian Climate Change Justice Party,56
Declaration,Australian Federation Party Australian Capital Territory,9
Declaration,Belco Party,53
Declaration,Canberra Liberals,869
Declaration,Canberra Progressives,62
Declaration,David Pollard Independent,15
Declaration,Labour DLP,69
Declaration,Liberal Democrats,13
Declaration,"Shooters, Fishers and Farmers Party (ACT)",43
Declaration,Sustainable Australia - Stop overdevelopment. Stop corruption.,49
Declaration,The ACT Greens,557
Declaration,The Community Action Party (ACT),1
Declaration,Ungrouped,41
Dickson,ACT Labor,250
Dickson,Animal Justice Party,13
Dickson,Australian Climate Change Justice Party,15
Dickson,Australian Federation Party Australian Capital Territory,1
Dickson,Belco Party,4
Dickson,Canberra Liberals,109
Dickson,Canberra Progressives,31
Dickson,David Pollard Independent,2
Dickson,Labour DLP,6
Dickson,Liberal Democrats,1
Dickson,"Shooters, Fishers and Farmers Party (ACT)",0
Dickson,Sustainable Australia - Stop overdevelopment. Stop corruption.,13
Dickson,The ACT Greens,162
Dickson,The Community Action Party (ACT),3
Dickson,Ungrouped,9
Dickson (Early voting),ACT Labor,4299
Dickson (Early voting),Animal Justice Party,164
Dickson (Early voting),Australian Climate Change Justice Party,97
Dickson (Early voting),Australian Federation Party Australian Capital Territory,3
Dickson (Early voting),Belco Party,38
Dickson (Early voting),Canberra Liberals,2342
Dickson (Early voting),Canberra Progressives,549
Dickson (Early voting),David Pollard Independent,18
Dickson (Early voting),Labour DLP,55
Dickson (Early voting),Liberal Democrats,4
Dickson (Early voting),"Shooters, Fishers and Farmers Party (ACT)",23
Dickson (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,163
Dickson (Early voting),The ACT Greens,3031
Dickson (Early voting),The Community Action Party (ACT),34
Dickson (Early voting),Ungrouped,187
Downer,ACT Labor,247
Downer,Animal Justice Party,6
Downer,Australian Climate Change Justice Party,8
Downer,Australian Federation Party Australian Capital Territory,0
Downer,Belco Party,3
Downer,Canberra Liberals,146
Downer,Canberra Progressives,33
Downer,David Pollard Independent,0
Downer,Labour DLP,1
Downer,Liberal Democrats,0
Downer,"Shooters, Fishers and Farmers Party (ACT)",1
Downer,Sustainable Australia - Stop overdevelopment. Stop corruption.,14
Downer,The ACT Greens,233
Downer,The Community Action Party (ACT),3
Downer,Ungrouped,10
Duffy,ACT Labor,204
Duffy,Animal Justice Party,21
Duffy,Australian Climate Change Justice Party,6
Duffy,Australian Federation Party Australian Capital Territory,0
Duffy,Belco Party,0
Duffy,Canberra Liberals,149
Duffy,Canberra Progressives,18
Duffy,David Pollard Independent,0
Duffy,Labour DLP,0
Duffy,Liberal Democrats,0
Duffy,"Shooters, Fishers and Farmers Party (ACT)",10
Duffy,Sustainable Australia - Stop overdevelopment. Stop corruption.,9
Duffy,The ACT Greens,70
Duffy,The Community Action Party (ACT),0
Duffy,Ungrouped,47
Evatt,ACT Labor,364
Evatt,Animal Justice Party,15
Evatt,Australian Climate Change Justice Party,4
Evatt,Australian Federation Party Australian Capital Territory,0
Evatt,Belco Party,106
Evatt,Canberra Liberals,282
Evatt,Canberra Progressives,0
Evatt,David Pollard Independent,1
Evatt,Labour DLP,22
Evatt,Liberal Democrats,8
Evatt,"Shooters, Fishers and Farmers Party (ACT)",22
Evatt,Sustainable Australia - Stop overdevelopment. Stop corruption.,14
Evatt,The ACT Greens,108
Evatt,The Community Action Party (ACT),0
Evatt,Ungrouped,8
Evatt South,ACT Labor,140
Evatt South,Animal Justice Party,2
Evatt South,Australian Climate Change Justice Party,7
Evatt South,Australian Federation Party Australian Capital Territory,0
Evatt South,Belco Party,32
Evatt South,Canberra Liberals,121
Evatt South,Canberra Progressives,0
Evatt South,David Pollard Independent,0
Evatt South,Labour DLP,8
Evatt South,Liberal Democrats,2
Evatt South,"Shooters, Fishers and Farmers Party (ACT)",9
Evatt South,Sustainable Australia - Stop overdevelopment. Stop corruption.,12
Evatt South,The ACT Greens,46
Evatt South,The Community Action Party (ACT),0
Evatt South,Ungrouped,5
Fadden,ACT Labor,196
Fadden,Animal Justice Party,4
Fadden,Australian Climate Change Justice Party,0
Fadden,Australian Federation Party Australian Capital Territory,8
Fadden,Belco Party,0
Fadden,Canberra Liberals,236
Fadden,Canberra Progressives,0
Fadden,David Pollard Independent,0
Fadden,Labour DLP,0
Fadden,Liberal Democrats,9
Fadden,"Shooters, Fishers and Farmers Party (ACT)",9
Fadden,Sustainable Australia - Stop overdevelopment. Stop corruption.,21
Fadden,The ACT Greens,64
Fadden,The Community Action Party (ACT),0
Fadden,Ungrouped,0
Farrer,ACT Labor,331
Farrer,Animal Justice Party,12
Farrer,Australian Climate Change Justice Party,9
Farrer,Australian Federation Party Australian Capital Territory,1
Farrer,Belco Party,0
Farrer,Canberra Liberals,315
Farrer,Canberra Progressives,23
Farrer,David Pollard Independent,0
Farrer,Labour DLP,0
Farrer,Liberal Democrats,1
Farrer,"Shooters, Fishers and Farmers Party (ACT)",15
Farrer,Sustainable Australia - Stop overdevelopment. Stop corruption.,14
Farrer,The ACT Greens,107
Farrer,The Community Action Party (ACT),0
Farrer,Ungrouped,81
Florey,ACT Labor,211
Florey,Animal Justice Party,14
Florey,Australian Climate Change Justice Party,4
Florey,Australian Federation Party Australian Capital Territory,0
Florey,Belco Party,53
Florey,Canberra Liberals,141
Florey,Canberra Progressives,0
Florey,David Pollard Independent,0
Florey,Labour DLP,22
Florey,Liberal Democrats,5
Florey,"Shooters, Fishers and Farmers Party (ACT)",15
Florey,Sustainable Australia - Stop overdevelopment. Stop corruption.,10
Florey,The ACT Greens,54
Florey,The Community Action Party (ACT),0
Florey,Ungrouped,10
Flynn,ACT Labor,130
Flynn,Animal Justice Party,10
Flynn,Australian Climate Change Justice Party,5
Flynn,Australian Federation Party Australian Capital Territory,0
Flynn,Belco Party,37
Flynn,Canberra Liberals,66
Flynn,Canberra Progressives,0
Flynn,David Pollard Independent,0
Flynn,Labour DLP,14
Flynn,Liberal Democrats,8
Flynn,"Shooters, Fishers and Farmers Party (ACT)",13
Flynn,Sustainable Australia - Stop overdevelopment. Stop corruption.,3
Flynn,The ACT Greens,37
Flynn,The Community Action Party (ACT),0
Flynn,Ungrouped,5
Flynn (Early voting),ACT Labor,2623
Flynn (Early voting),Animal Justice Party,98
Flynn (Early voting),Australian Climate Change Justice Party,62
Flynn (Early voting),Australian Federation Party Australian Capital Territory,0
Flynn (Early voting),Belco Party,662
Flynn (Early voting),Canberra Liberals,1775
Flynn (Early voting),Canberra Progressives,9
Flynn (Early voting),David Pollard Independent,14
Flynn (Early voting),Labour DLP,146
Flynn (Early voting),Liberal Democrats,40
Flynn (Early voting),"Shooters, Fishers and Farmers Party (ACT)",136
Flynn (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,97
Flynn (Early voting),The ACT Greens,723
Flynn (Early voting),The Community Action Party (ACT),0
Flynn (Early voting),Ungrouped,82
Forde,ACT Labor,230
Forde,Animal Justice Party,11
Forde,Australian Climate Change Justice Party,0
Forde,Australian Federation Party Australian Capital Territory,1
Forde,Belco Party,0
Forde,Canberra Liberals,302
Forde,Canberra Progressives,18
Forde,David Pollard Independent,15
Forde,Labour DLP,15
Forde,Liberal Democrats,0
Forde,"Shooters, Fishers and Farmers Party (ACT)",0
Forde,Sustainable Australia - Stop overdevelopment. Stop corruption.,8
Forde,The ACT Greens,40
Forde,The Community Action Party (ACT),0
Forde,Ungrouped,12
Fraser,ACT Labor,312
Fraser,Animal Justice Party,21
Fraser,Australian Climate Change Justice Party,11
Fraser,Australian Federation Party Australian Capital Territory,0
Fraser,Belco Party,110
Fraser,Canberra Liberals,182
Fraser,Canberra Progressives,0
Fraser,David Pollard Independent,0
Fraser,Labour DLP,23
Fraser,Liberal Democrats,4
Fraser,"Shooters, Fishers and Farmers Party (ACT)",33
Fraser,Sustainable Australia - Stop overdevelopment. Stop corruption.,9
Fraser,The ACT Greens,68
Fraser,The Community Action Party (ACT),0
Fraser,Ungrouped,9
Garran,ACT Labor,155
Garran,Animal Justice Party,5
Garran,Australian Climate Change Justice Party,6
Garran,Australian Federation Party Australian Capital Territory,0
Garran,Belco Party,0
Garran,Canberra Liberals,175
Garran,Canberra Progressives,9
Garran,David Pollard Independent,0
Garran,Labour DLP,0
Garran,Liberal Democrats,0
Garran,"Shooters, Fishers and Farmers Party (ACT)",5
Garran,Sustainable Australia - Stop overdevelopment. Stop corruption.,6
Garran,The ACT Greens,51
Garran,The Community Action Party (ACT),0
Garran,Ungrouped,36
Gilmore,ACT Labor,147
Gilmore,Animal Justice Party,13
Gilmore,Australian Climate Change Justice Party,0
Gilmore,Australian Federation Party Australian Capital Territory,6
Gilmore,Belco Party,0
Gilmore,Canberra Liberals,141
Gilmore,Canberra Progressives,0
Gilmore,David Pollard Independent,0
Gilmore,Labour DLP,0
Gilmore,Liberal Democrats,4
Gilmore,"Shooters, Fishers and Farmers Party (ACT)",19
Gilmore,Sustainable Australia - Stop overdevelopment. Stop corruption.,11
Gilmore,The ACT Greens,45
Gilmore,The Community Action Party (ACT),0
Gilmore,Ungrouped,0
Giralang,ACT Labor,224
Giralang,Animal Justice Party,6
Giralang,Australian Climate Change Justice Party,0
Giralang,Australian Federation Party Australian Capital Territory,2
Giralang,Belco Party,3
Giralang,Canberra Liberals,251
Giralang,Canberra Progressives,25
Giralang,David Pollard Independent,68
Giralang,Labour DLP,19
Giralang,Liberal Democrats,1
Giralang,"Shooters, Fishers and Farmers Party (ACT)",1
Giralang,Sustainable Australia - Stop overdevelopment. Stop corruption.,9
Giralang,The ACT Greens,75
Giralang,The Community Action Party (ACT),0
Giralang,Ungrouped,5
Gordon,ACT Labor,250
Gordon,Animal Justice Party,31
Gordon,Australian Climate Change Justice Party,0
Gordon,Australian Federation Party Australian Capital Territory,10
Gordon,Belco Party,0
Gordon,Canberra Liberals,214
Gordon,Canberra Progressives,0
Gordon,David Pollard Independent,0
Gordon,Labour DLP,0
Gordon,Liberal Democrats,12
Gordon,"Shooters, Fishers and Farmers Party (ACT)",25
Gordon,Sustainable Australia - Stop overdevelopment. Stop corruption.,21
Gordon,The ACT Greens,62
Gordon,The Community Action Party (ACT),0
Gordon,Ungrouped,0
Gowrie,ACT Labor,168
Gowrie,Animal Justice Party,11
Gowrie,Australian Climate Change Justice Party,0
Gowrie,Australian Federation Party Australian Capital Territory,6
Gowrie,Belco Party,0
Gowrie,Canberra Liberals,191
Gowrie,Canberra Progressives,0
Gowrie,David Pollard Independent,0
Gowrie,Labour DLP,0
Gowrie,Liberal Democrats,7
Gowrie,"Shooters, Fishers and Farmers Party (ACT)",14
Gowrie,Sustainable Australia - Stop overdevelopment. Stop corruption.,13
Gowrie,The ACT Greens,67
Gowrie,The Community Action Party (ACT),0
Gowrie,Ungrouped,0
Griffith,ACT Labor,285
Griffith,Animal Justice Party,13
Griffith,Australian Climate Change Justice Party,14
Griffith,Australian Federation Party Australian Capital Territory,0
Griffith,Belco Party,0
Griffith,Canberra Liberals,250
Griffith,Canberra Progressives,36
Griffith,David Pollard Independent,0
Griffith,Labour DLP,0
Griffith,Liberal Democrats,1
Griffith,"Shooters, Fishers and Farmers Party (ACT)",1
Griffith,Sustainable Australia - Stop overdevelopment. Stop corruption.,8
Griffith,The ACT Greens,138
Griffith,The Community Action Party (ACT),1
Griffith,Ungrouped,13
Gungahlin North,ACT Labor,168
Gungahlin North,Animal Justice Party,7
Gungahlin North,Australian Climate Change Justice Party,0
Gungahlin North,Australian Federation Party Australian Capital Territory,2
Gungahlin North,Belco Party,0
Gungahlin North,Canberra Liberals,181
Gungahlin North,Canberra Progressives,14
Gungahlin North,David Pollard Independent,16
Gungahlin North,Labour DLP,24
Gungahlin North,Liberal Democrats,0
Gungahlin North,"Shooters, Fishers and Farmers Party (ACT)",3
Gungahlin North,Sustainable Australia - Stop overdevelopment. Stop corruption.,10
Gungahlin North,The ACT Greens,59
Gungahlin North,The Community Action Party (ACT),0
Gungahlin North,Ungrouped,6
Gungahlin North (Early voting),ACT Labor,2816
Gungahlin North (Early voting),Animal Justice Party,81
Gungahlin North (Early voting),Australian Climate Change Justice Party,4
Gungahlin North (Early voting),Australian Federation Party Australian Capital Territory,23
Gungahlin North (Early voting),Belco Party,16
Gungahlin North (Early voting),Canberra Liberals,3374
Gungahlin North (Early voting),Canberra Progressives,199
Gungahlin North (Early voting),David Pollard Independent,204
Gungahlin North (Early voting),Labour DLP,426
Gungahlin North (Early voting),Liberal Democrats,6
Gungahlin North (Early voting),"Shooters, Fishers and Farmers Party (ACT)",22
Gungahlin North (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,86
Gungahlin North (Early voting),The ACT Greens,833
Gungahlin North (Early voting),The Community Action Party (ACT),0
Gungahlin North (Early voting),Ungrouped,155
Gungahlin West,ACT Labor,331
Gungahlin West,Animal Justice Party,18
Gungahlin West,Australian Climate Change Justice Party,0
Gungahlin West,Australian Federation Party Australian Capital Territory,2
Gungahlin West,Belco Party,7
Gungahlin West,Canberra Liberals,407
Gungahlin West,Canberra Progressives,27
Gungahlin West,David Pollard Independent,19
Gungahlin West,Labour DLP,46
Gungahlin West,Liberal Democrats,1
Gungahlin West,"Shooters, Fishers and Farmers Party (ACT)",2
Gungahlin West,Sustainable Australia - Stop overdevelopment. Stop corruption.,20
Gungahlin West,The ACT Greens,90
Gungahlin West,The Community Action Party (ACT),0
Gungahlin West,Ungrouped,7
Gungahlin West (Early voting),ACT Labor,5981
Gungahlin West (Early voting),Animal Justice Party,198
Gungahlin West (Early voting),Australian Climate Change Justice Party,11
Gungahlin West (Early voting),Australian Federation Party Australian Capital Territory,22
Gungahlin West (Early voting),Belco Party,40
Gungahlin West (Early voting),Canberra Liberals,7311
Gungahlin West (Early voting),Canberra Progressives,427
Gungahlin West (Early voting),David Pollard Independent,557
Gungahlin West (Early voting),Labour DLP,656
Gungahlin West (Early voting),Liberal Democrats,13
Gungahlin West (Early voting),"Shooters, Fishers and Farmers Party (ACT)",28
Gungahlin West (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,182
Gungahlin West (Early voting),The ACT Greens,1479
Gungahlin West (Early voting),The Community Action Party (ACT),0
Gungahlin West (Early voting),Ungrouped,230
Hall,ACT Labor,48
Hall,Animal Justice Party,2
Hall,Australian Climate Change Justice Party,0
Hall,Australian Federation Party Australian Capital Territory,0
Hall,Belco Party,5
Hall,Canberra Liberals,84
Hall,Canberra Progressives,8
Hall,David Pollard Independent,13
Hall,Labour DLP,6
Hall,Liberal Democrats,1
Hall,"Shooters, Fishers and Farmers Party (ACT)",1
Hall,Sustainable Australia - Stop overdevelopment. Stop corruption.,2
Hall,The ACT Greens,20
Hall,The Community Action Party (ACT),0
Hall,Ungrouped,0
Harrison,ACT Labor,365
Harrison,Animal Justice Party,18
Harrison,Australian Climate Change Justice Party,2
