,booth,electorate,party,candidate,votes
51,Bonython,Ginninderra,The ACT Greens,"CLAY, Jo",0
52,Bonython,Ginninderra,The ACT Greens,"LIERSCH, Tim",0
53,Bonython,Ginninderra,The ACT Greens,"MILLNER, Katt",0
54,Bonython,Ginninderra,Ungrouped,"CULLEN, Mignonne",0
55,Bonython,Kurrajong,ACT Labor,"ANDERSON, Judy",0
56,Bonython,Kurrajong,ACT Labor,"BARR, Andrew",0
57,Bonython,Kurrajong,ACT Labor,"INGRAM, Jacob",0
58,Bonython,Kurrajong,ACT Labor,"NORTHAM, Maddy",0
59,Bonython,Kurrajong,ACT Labor,"STEPHEN-SMITH, Rachel",0
60,Bonython,Kurrajong,Animal Justice Party,"RUTLEDGE-PRIOR, Serrin",0
61,Bonython,Kurrajong,Animal Justice Party,"SMITH, Julie",0
62,Bonython,Kurrajong,Australian Climate Change Justice Party,"FORNER, Sophia",0
63,Bonython,Kurrajong,Australian Climate Change Justice Party,"JOHNSON, Petar",0
64,Bonython,Kurrajong,Australian Climate Change Justice Party,"O'HARA, Alix",0
65,Bonython,Kurrajong,Canberra Liberals,"BURCH, Candice",0
66,Bonython,Kurrajong,Canberra Liberals,"GUMBER, Rattesh",0
67,Bonython,Kurrajong,Canberra Liberals,"JOHNSON, Robert",0
68,Bonython,Kurrajong,Canberra Liberals,"LEE, Elizabeth",0
69,Bonython,Kurrajong,Canberra Liberals,"PENTONY, Patrick",0
70,Bonython,Kurrajong,Canberra Progressives,"BOHM, Tim",0
71,Bonython,Kurrajong,Canberra Progressives,"BRYANT, Peta Anne",0
72,Bonython,Kurrajong,Canberra Progressives,"FAULKNER, Therese",0
73,Bonython,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"ANGEL, Joy",0
74,Bonython,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"HAYDON, John",0
75,Bonython,Kurrajong,The ACT Greens,"BOISEN, Adriana",0
76,Bonython,Kurrajong,The ACT Greens,"BREWER, Michael",0
77,Bonython,Kurrajong,The ACT Greens,"RATTENBURY, Shane",0
78,Bonython,Kurrajong,The ACT Greens,"VASSAROTTI, Rebecca",0
79,Bonython,Kurrajong,The Community Action Party (ACT),"HOPPER, Alvin",0
80,Bonython,Kurrajong,The Community Action Party (ACT),"WILLIAMS, Robyn",0
81,Bonython,Kurrajong,Ungrouped,"DAMIANO, Marilena",0
82,Bonython,Kurrajong,Ungrouped,"PAINE, Bruce",0
83,Bonython,Murrumbidgee,ACT Labor,"CODY, Bec",0
84,Bonython,Murrumbidgee,ACT Labor,"DOBSON, Tim",0
85,Bonython,Murrumbidgee,ACT Labor,"LONG, Brendan",0
86,Bonython,Murrumbidgee,ACT Labor,"PATERSON, Marisa",0
87,Bonython,Murrumbidgee,ACT Labor,"STEEL, Chris",0
88,Bonython,Murrumbidgee,Animal Justice Party,"del VALLE, Yana",0
89,Bonython,Murrumbidgee,Animal Justice Party,"HANDBY, Edmund",0
90,Bonython,Murrumbidgee,Australian Climate Change Justice Party,"BYRNES, Rohan",0
91,Bonython,Murrumbidgee,Australian Climate Change Justice Party,"DEMETRIOS, Andrew",0
92,Bonython,Murrumbidgee,Australian Climate Change Justice Party,"FORNER, Richard",0
93,Bonython,Murrumbidgee,Australian Climate Change Justice Party,"HILLMAN, Jackson",0
94,Bonython,Murrumbidgee,Australian Climate Change Justice Party,"VEENSTRA, Peter",0
95,Bonython,Murrumbidgee,Canberra Liberals,"COCKS, Ed",0
96,Bonython,Murrumbidgee,Canberra Liberals,"HANSON, Jeremy",0
97,Bonython,Murrumbidgee,Canberra Liberals,"JONES, Giulia",0
98,Bonython,Murrumbidgee,Canberra Liberals,"SINGH, Amardeep",0
99,Bonython,Murrumbidgee,Canberra Liberals,"SUINE, Sarah",0
100,Bonython,Murrumbidgee,Canberra Progressives,"KNIGHT, Robert",0
101,Bonython,Murrumbidgee,Canberra Progressives,"LIN, Stephen",0
102,Bonython,Murrumbidgee,"Shooters, Fishers and Farmers Party (ACT)","GILMAYER, Mark",0
103,Bonython,Murrumbidgee,"Shooters, Fishers and Farmers Party (ACT)","YEATMAN, Gordon",0
104,Bonython,Murrumbidgee,Sustainable Australia - Stop overdevelopment. Stop corruption.,"BUCKMASTER, Geoff",0
105,Bonython,Murrumbidgee,Sustainable Australia - Stop overdevelopment. Stop corruption.,"MAIL, Jill",0
106,Bonython,Murrumbidgee,The ACT Greens,"BAKER, Terry",0
107,Bonython,Murrumbidgee,The ACT Greens,"DAVIDSON, Emma",0
108,Bonython,Murrumbidgee,The ACT Greens,"GORENG GORENG, Tjanara",0
109,Bonython,Murrumbidgee,Ungrouped,"CARRICK, Fiona",0
110,Bonython,Murrumbidgee,Ungrouped,"PERREN-LEVERIDGE, Lee",0
111,Bonython,Murrumbidgee,Ungrouped,"WHYTE, Brendan",0
112,Bonython,Yerrabi,ACT Labor,"FISCHER, Tom",0
113,Bonython,Yerrabi,ACT Labor,"GUPTA, Deepak-Raj",0
114,Bonython,Yerrabi,ACT Labor,"ORR, Suzanne",0
115,Bonython,Yerrabi,ACT Labor,"PETTERSSON, Michael",0
116,Bonython,Yerrabi,ACT Labor,"PHILLIPS, Georgia",0
117,Bonython,Yerrabi,Animal Justice Party,"BRENNAN, Bernie",0
118,Bonython,Yerrabi,Animal Justice Party,"HORNE, Francine",0
119,Bonython,Yerrabi,Australian Federation Party Australian Capital Territory,"HUSSAIN, Mohammad Munir",0
120,Bonython,Yerrabi,Canberra Liberals,"CASTLEY, Leanne",0
121,Bonython,Yerrabi,Canberra Liberals,"COE, Alistair",0
122,Bonython,Yerrabi,Canberra Liberals,"MILLIGAN, James",0
123,Bonython,Yerrabi,Canberra Liberals,"NADIMPALLI, Krishna",0
124,Bonython,Yerrabi,Canberra Liberals,"VADAKKEDATHU, Jacob",0
125,Bonython,Yerrabi,Canberra Progressives,"STELZIG, Mike",0
126,Bonython,Yerrabi,Canberra Progressives,"WILLIAMS, Bethany",0
127,Bonython,Yerrabi,David Pollard Independent,"POLLARD, David",0
128,Bonython,Yerrabi,David Pollard Independent,"POLLARD, Stephanie",0
129,Bonython,Yerrabi,Labour DLP,"HELMORE, Olivia",0
130,Bonython,Yerrabi,Labour DLP,"STRANG, Bernie",0
131,Bonython,Yerrabi,Sustainable Australia - Stop overdevelopment. Stop corruption.,"KEARSLEY, John",0
132,Bonython,Yerrabi,Sustainable Australia - Stop overdevelopment. Stop corruption.,"YOUNG, Scott",0
133,Bonython,Yerrabi,The ACT Greens,"BRADDOCK, Andrew",0
134,Bonython,Yerrabi,The ACT Greens,"HAQUE, Mainul",0
135,Bonython,Yerrabi,Ungrouped,"CROSS, Helen",0
136,Bonython,Yerrabi,Ungrouped,"LI, Fuxin",0
137,Calwell,Brindabella,ACT Labor,"BURCH, Joy",54
138,Calwell,Brindabella,ACT Labor,"DAY, Cathy",28
139,Calwell,Brindabella,ACT Labor,"FORDE, Brendan",28
140,Calwell,Brindabella,ACT Labor,"GENTLEMAN, Mick",77
141,Calwell,Brindabella,ACT Labor,"WERNER-GIBBINGS, Taimus",49
142,Calwell,Brindabella,Animal Justice Party,"FAHIZ, Jannah",10
143,Calwell,Brindabella,Animal Justice Party,"SOXSMITH, Robyn",7
144,Calwell,Brindabella,Australian Federation Party Australian Capital Territory,"POTTER, Jason",5
145,Calwell,Brindabella,Australian Federation Party Australian Capital Territory,"SANDFORD, Scott",1
146,Calwell,Brindabella,Canberra Liberals,"DANIELS, James",15
147,Calwell,Brindabella,Canberra Liberals,"HIATT, Jane",49
148,Calwell,Brindabella,Canberra Liberals,"LAWDER, Nicole",44
149,Calwell,Brindabella,Canberra Liberals,"PARTON, Mark",46
150,Calwell,Brindabella,Canberra Liberals,"WALL, Andrew",47
151,Calwell,Brindabella,Liberal Democrats,"GOWOR, Jacob",4
152,Calwell,Brindabella,Liberal Democrats,"KNIGHT, Matthew",5
153,Calwell,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","BAYNHAM, Greg",18
154,Calwell,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","OLLEY, Adrian",8
155,Calwell,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"CLAPHAM, Andrew",10
156,Calwell,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"WILLETT, Bruce",7
157,Calwell,Brindabella,The ACT Greens,"DAVIS, Johnathan",28
158,Calwell,Brindabella,The ACT Greens,"ELLERMAN, Sue",19
159,Calwell,Brindabella,The ACT Greens,"NUTTALL, Laura",22
160,Calwell,Ginninderra,ACT Labor,"BERRY, Yvette",0
161,Calwell,Ginninderra,ACT Labor,"CHEYNE, Tara",0
162,Calwell,Ginninderra,ACT Labor,"DUCKER, Sue",0
163,Calwell,Ginninderra,ACT Labor,"LLOYD, Greg",0
164,Calwell,Ginninderra,ACT Labor,"RAMSAY, Gordon",0
165,Calwell,Ginninderra,Animal Justice Party,"DREW, Carolyne",0
166,Calwell,Ginninderra,Animal Justice Party,"DREW, Lara",0
167,Calwell,Ginninderra,Australian Climate Change Justice Party,"DEMETRIOS, Oksana",0
168,Calwell,Ginninderra,Australian Climate Change Justice Party,"NGEP, Sok Kheng",0
169,Calwell,Ginninderra,Australian Climate Change Justice Party,"STAVRIDIS, Jonathan",0
170,Calwell,Ginninderra,Belco Party,"DUBEY, Vijay",0
171,Calwell,Ginninderra,Belco Party,"HENRY, Chic",0
172,Calwell,Ginninderra,Belco Party,"LOUNT, Angela",0
173,Calwell,Ginninderra,Belco Party,"STEFANIAK, Bill",0
174,Calwell,Ginninderra,Belco Party,"TUTT, Alan",0
175,Calwell,Ginninderra,Canberra Liberals,"CAIN, Peter",0
176,Calwell,Ginninderra,Canberra Liberals,"GUNNING, Robert",0
177,Calwell,Ginninderra,Canberra Liberals,"KIKKERT, Elizabeth",0
178,Calwell,Ginninderra,Canberra Liberals,"LAM, Kacey",0
179,Calwell,Ginninderra,Canberra Liberals,"ROZARIO, Ignatius",0
180,Calwell,Ginninderra,Labour DLP,"McCLURE, Helen",0
181,Calwell,Ginninderra,Labour DLP,"McCLURE, Ian",0
182,Calwell,Ginninderra,Liberal Democrats,"DE LUCA, Dominic",0
183,Calwell,Ginninderra,Liberal Democrats,"JAKEMAN, Guy",0
184,Calwell,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","OGILVIE, Matthew",0
185,Calwell,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","SMITH, Oliver",0
186,Calwell,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"GABRIEL, Paul",0
187,Calwell,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"O'CONNOR, Mark",0
188,Calwell,Ginninderra,The ACT Greens,"CLAY, Jo",0
189,Calwell,Ginninderra,The ACT Greens,"LIERSCH, Tim",0
190,Calwell,Ginninderra,The ACT Greens,"MILLNER, Katt",0
191,Calwell,Ginninderra,Ungrouped,"CULLEN, Mignonne",0
192,Calwell,Kurrajong,ACT Labor,"ANDERSON, Judy",0
193,Calwell,Kurrajong,ACT Labor,"BARR, Andrew",0
194,Calwell,Kurrajong,ACT Labor,"INGRAM, Jacob",0
195,Calwell,Kurrajong,ACT Labor,"NORTHAM, Maddy",0
196,Calwell,Kurrajong,ACT Labor,"STEPHEN-SMITH, Rachel",0
197,Calwell,Kurrajong,Animal Justice Party,"RUTLEDGE-PRIOR, Serrin",0
198,Calwell,Kurrajong,Animal Justice Party,"SMITH, Julie",0
199,Calwell,Kurrajong,Australian Climate Change Justice Party,"FORNER, Sophia",0
200,Calwell,Kurrajong,Australian Climate Change Justice Party,"JOHNSON, Petar",0
201,Calwell,Kurrajong,Australian Climate Change Justice Party,"O'HARA, Alix",0
202,Calwell,Kurrajong,Canberra Liberals,"BURCH, Candice",0
203,Calwell,Kurrajong,Canberra Liberals,"GUMBER, Rattesh",0
204,Calwell,Kurrajong,Canberra Liberals,"JOHNSON, Robert",0
205,Calwell,Kurrajong,Canberra Liberals,"LEE, Elizabeth",0
206,Calwell,Kurrajong,Canberra Liberals,"PENTONY, Patrick",0
207,Calwell,Kurrajong,Canberra Progressives,"BOHM, Tim",0
208,Calwell,Kurrajong,Canberra Progressives,"BRYANT, Peta Anne",0
209,Calwell,Kurrajong,Canberra Progressives,"FAULKNER, Therese",0
210,Calwell,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"ANGEL, Joy",0
211,Calwell,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"HAYDON, John",0
212,Calwell,Kurrajong,The ACT Greens,"BOISEN, Adriana",0
213,Calwell,Kurrajong,The ACT Greens,"BREWER, Michael",0
214,Calwell,Kurrajong,The ACT Greens,"RATTENBURY, Shane",0
215,Calwell,Kurrajong,The ACT Greens,"VASSAROTTI, Rebecca",0
216,Calwell,Kurrajong,The Community Action Party (ACT),"HOPPER, Alvin",0
217,Calwell,Kurrajong,The Community Action Party (ACT),"WILLIAMS, Robyn",0
218,Calwell,Kurrajong,Ungrouped,"DAMIANO, Marilena",0
219,Calwell,Kurrajong,Ungrouped,"PAINE, Bruce",0
220,Calwell,Murrumbidgee,ACT Labor,"CODY, Bec",0
221,Calwell,Murrumbidgee,ACT Labor,"DOBSON, Tim",0
222,Calwell,Murrumbidgee,ACT Labor,"LONG, Brendan",0
223,Calwell,Murrumbidgee,ACT Labor,"PATERSON, Marisa",0
224,Calwell,Murrumbidgee,ACT Labor,"STEEL, Chris",0
225,Calwell,Murrumbidgee,Animal Justice Party,"del VALLE, Yana",0
226,Calwell,Murrumbidgee,Animal Justice Party,"HANDBY, Edmund",0
227,Calwell,Murrumbidgee,Australian Climate Change Justice Party,"BYRNES, Rohan",0
228,Calwell,Murrumbidgee,Australian Climate Change Justice Party,"DEMETRIOS, Andrew",0
229,Calwell,Murrumbidgee,Australian Climate Change Justice Party,"FORNER, Richard",0
230,Calwell,Murrumbidgee,Australian Climate Change Justice Party,"HILLMAN, Jackson",0
231,Calwell,Murrumbidgee,Australian Climate Change Justice Party,"VEENSTRA, Peter",0
232,Calwell,Murrumbidgee,Canberra Liberals,"COCKS, Ed",0
233,Calwell,Murrumbidgee,Canberra Liberals,"HANSON, Jeremy",0
234,Calwell,Murrumbidgee,Canberra Liberals,"JONES, Giulia",0
235,Calwell,Murrumbidgee,Canberra Liberals,"SINGH, Amardeep",0
236,Calwell,Murrumbidgee,Canberra Liberals,"SUINE, Sarah",0
237,Calwell,Murrumbidgee,Canberra Progressives,"KNIGHT, Robert",0
238,Calwell,Murrumbidgee,Canberra Progressives,"LIN, Stephen",0
239,Calwell,Murrumbidgee,"Shooters, Fishers and Farmers Party (ACT)","GILMAYER, Mark",0
240,Calwell,Murrumbidgee,"Shooters, Fishers and Farmers Party (ACT)","YEATMAN, Gordon",0
241,Calwell,Murrumbidgee,Sustainable Australia - Stop overdevelopment. Stop corruption.,"BUCKMASTER, Geoff",0
242,Calwell,Murrumbidgee,Sustainable Australia - Stop overdevelopment. Stop corruption.,"MAIL, Jill",0
243,Calwell,Murrumbidgee,The ACT Greens,"BAKER, Terry",0
244,Calwell,Murrumbidgee,The ACT Greens,"DAVIDSON, Emma",0
245,Calwell,Murrumbidgee,The ACT Greens,"GORENG GORENG, Tjanara",0
246,Calwell,Murrumbidgee,Ungrouped,"CARRICK, Fiona",0
247,Calwell,Murrumbidgee,Ungrouped,"PERREN-LEVERIDGE, Lee",0
248,Calwell,Murrumbidgee,Ungrouped,"WHYTE, Brendan",0
249,Calwell,Yerrabi,ACT Labor,"FISCHER, Tom",0
250,Calwell,Yerrabi,ACT Labor,"GUPTA, Deepak-Raj",0
251,Calwell,Yerrabi,ACT Labor,"ORR, Suzanne",0
252,Calwell,Yerrabi,ACT Labor,"PETTERSSON, Michael",0
253,Calwell,Yerrabi,ACT Labor,"PHILLIPS, Georgia",0
254,Calwell,Yerrabi,Animal Justice Party,"BRENNAN, Bernie",0
255,Calwell,Yerrabi,Animal Justice Party,"HORNE, Francine",0
256,Calwell,Yerrabi,Australian Federation Party Australian Capital Territory,"HUSSAIN, Mohammad Munir",0
257,Calwell,Yerrabi,Canberra Liberals,"CASTLEY, Leanne",0
258,Calwell,Yerrabi,Canberra Liberals,"COE, Alistair",0
259,Calwell,Yerrabi,Canberra Liberals,"MILLIGAN, James",0
260,Calwell,Yerrabi,Canberra Liberals,"NADIMPALLI, Krishna",0
261,Calwell,Yerrabi,Canberra Liberals,"VADAKKEDATHU, Jacob",0
262,Calwell,Yerrabi,Canberra Progressives,"STELZIG, Mike",0
263,Calwell,Yerrabi,Canberra Progressives,"WILLIAMS, Bethany",0
264,Calwell,Yerrabi,David Pollard Independent,"POLLARD, David",0
265,Calwell,Yerrabi,David Pollard Independent,"POLLARD, Stephanie",0
266,Calwell,Yerrabi,Labour DLP,"HELMORE, Olivia",0
267,Calwell,Yerrabi,Labour DLP,"STRANG, Bernie",0
268,Calwell,Yerrabi,Sustainable Australia - Stop overdevelopment. Stop corruption.,"KEARSLEY, John",0
269,Calwell,Yerrabi,Sustainable Australia - Stop overdevelopment. Stop corruption.,"YOUNG, Scott",0
270,Calwell,Yerrabi,The ACT Greens,"BRADDOCK, Andrew",0
271,Calwell,Yerrabi,The ACT Greens,"HAQUE, Mainul",0
272,Calwell,Yerrabi,Ungrouped,"CROSS, Helen",0
273,Calwell,Yerrabi,Ungrouped,"LI, Fuxin",0
274,Chisholm,Brindabella,ACT Labor,"BURCH, Joy",69
275,Chisholm,Brindabella,ACT Labor,"DAY, Cathy",31
276,Chisholm,Brindabella,ACT Labor,"FORDE, Brendan",31
277,Chisholm,Brindabella,ACT Labor,"GENTLEMAN, Mick",69
278,Chisholm,Brindabella,ACT Labor,"WERNER-GIBBINGS, Taimus",39
279,Chisholm,Brindabella,Animal Justice Party,"FAHIZ, Jannah",9
280,Chisholm,Brindabella,Animal Justice Party,"SOXSMITH, Robyn",9
281,Chisholm,Brindabella,Australian Federation Party Australian Capital Territory,"POTTER, Jason",7
282,Chisholm,Brindabella,Australian Federation Party Australian Capital Territory,"SANDFORD, Scott",2
283,Chisholm,Brindabella,Canberra Liberals,"DANIELS, James",42
284,Chisholm,Brindabella,Canberra Liberals,"HIATT, Jane",28
285,Chisholm,Brindabella,Canberra Liberals,"LAWDER, Nicole",68
286,Chisholm,Brindabella,Canberra Liberals,"PARTON, Mark",71
287,Chisholm,Brindabella,Canberra Liberals,"WALL, Andrew",38
288,Chisholm,Brindabella,Liberal Democrats,"GOWOR, Jacob",7
289,Chisholm,Brindabella,Liberal Democrats,"KNIGHT, Matthew",8
290,Chisholm,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","BAYNHAM, Greg",11
291,Chisholm,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","OLLEY, Adrian",14
292,Chisholm,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"CLAPHAM, Andrew",11
293,Chisholm,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"WILLETT, Bruce",4
294,Chisholm,Brindabella,The ACT Greens,"DAVIS, Johnathan",27
295,Chisholm,Brindabella,The ACT Greens,"ELLERMAN, Sue",12
296,Chisholm,Brindabella,The ACT Greens,"NUTTALL, Laura",16
297,Chisholm,Ginninderra,ACT Labor,"BERRY, Yvette",0
298,Chisholm,Ginninderra,ACT Labor,"CHEYNE, Tara",0
299,Chisholm,Ginninderra,ACT Labor,"DUCKER, Sue",0
300,Chisholm,Ginninderra,ACT Labor,"LLOYD, Greg",0
301,Chisholm,Ginninderra,ACT Labor,"RAMSAY, Gordon",0
302,Chisholm,Ginninderra,Animal Justice Party,"DREW, Carolyne",0
303,Chisholm,Ginninderra,Animal Justice Party,"DREW, Lara",0
304,Chisholm,Ginninderra,Australian Climate Change Justice Party,"DEMETRIOS, Oksana",0
305,Chisholm,Ginninderra,Australian Climate Change Justice Party,"NGEP, Sok Kheng",0
306,Chisholm,Ginninderra,Australian Climate Change Justice Party,"STAVRIDIS, Jonathan",0
307,Chisholm,Ginninderra,Belco Party,"DUBEY, Vijay",0
308,Chisholm,Ginninderra,Belco Party,"HENRY, Chic",0
309,Chisholm,Ginninderra,Belco Party,"LOUNT, Angela",0
310,Chisholm,Ginninderra,Belco Party,"STEFANIAK, Bill",0
311,Chisholm,Ginninderra,Belco Party,"TUTT, Alan",0
312,Chisholm,Ginninderra,Canberra Liberals,"CAIN, Peter",0
313,Chisholm,Ginninderra,Canberra Liberals,"GUNNING, Robert",0
314,Chisholm,Ginninderra,Canberra Liberals,"KIKKERT, Elizabeth",0
315,Chisholm,Ginninderra,Canberra Liberals,"LAM, Kacey",0
316,Chisholm,Ginninderra,Canberra Liberals,"ROZARIO, Ignatius",0
317,Chisholm,Ginninderra,Labour DLP,"McCLURE, Helen",0
318,Chisholm,Ginninderra,Labour DLP,"McCLURE, Ian",0
319,Chisholm,Ginninderra,Liberal Democrats,"DE LUCA, Dominic",0
320,Chisholm,Ginninderra,Liberal Democrats,"JAKEMAN, Guy",0
321,Chisholm,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","OGILVIE, Matthew",0
322,Chisholm,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","SMITH, Oliver",0
323,Chisholm,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"GABRIEL, Paul",0
324,Chisholm,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"O'CONNOR, Mark",0
325,Chisholm,Ginninderra,The ACT Greens,"CLAY, Jo",0
326,Chisholm,Ginninderra,The ACT Greens,"LIERSCH, Tim",0
327,Chisholm,Ginninderra,The ACT Greens,"MILLNER, Katt",0
328,Chisholm,Ginninderra,Ungrouped,"CULLEN, Mignonne",0
329,Chisholm,Kurrajong,ACT Labor,"ANDERSON, Judy",0
330,Chisholm,Kurrajong,ACT Labor,"BARR, Andrew",0
331,Chisholm,Kurrajong,ACT Labor,"INGRAM, Jacob",0
332,Chisholm,Kurrajong,ACT Labor,"NORTHAM, Maddy",0
333,Chisholm,Kurrajong,ACT Labor,"STEPHEN-SMITH, Rachel",0
334,Chisholm,Kurrajong,Animal Justice Party,"RUTLEDGE-PRIOR, Serrin",0
335,Chisholm,Kurrajong,Animal Justice Party,"SMITH, Julie",0
336,Chisholm,Kurrajong,Australian Climate Change Justice Party,"FORNER, Sophia",0
337,Chisholm,Kurrajong,Australian Climate Change Justice Party,"JOHNSON, Petar",0
338,Chisholm,Kurrajong,Australian Climate Change Justice Party,"O'HARA, Alix",0
339,Chisholm,Kurrajong,Canberra Liberals,"BURCH, Candice",0
340,Chisholm,Kurrajong,Canberra Liberals,"GUMBER, Rattesh",0
341,Chisholm,Kurrajong,Canberra Liberals,"JOHNSON, Robert",0
342,Chisholm,Kurrajong,Canberra Liberals,"LEE, Elizabeth",0
343,Chisholm,Kurrajong,Canberra Liberals,"PENTONY, Patrick",0
344,Chisholm,Kurrajong,Canberra Progressives,"BOHM, Tim",0
345,Chisholm,Kurrajong,Canberra Progressives,"BRYANT, Peta Anne",0
346,Chisholm,Kurrajong,Canberra Progressives,"FAULKNER, Therese",0
347,Chisholm,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"ANGEL, Joy",0
348,Chisholm,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"HAYDON, John",0
349,Chisholm,Kurrajong,The ACT Greens,"BOISEN, Adriana",0
350,Chisholm,Kurrajong,The ACT Greens,"BREWER, Michael",0
351,Chisholm,Kurrajong,The ACT Greens,"RATTENBURY, Shane",0
352,Chisholm,Kurrajong,The ACT Greens,"VASSAROTTI, Rebecca",0
353,Chisholm,Kurrajong,The Community Action Party (ACT),"HOPPER, Alvin",0
354,Chisholm,Kurrajong,The Community Action Party (ACT),"WILLIAMS, Robyn",0
